Folder,Image Count
Albedo,101
Alhaitham,99
Aloy,70
Amber,97
Arlecchino,184
Ayaka,100
Ayato,69
Baizhu,178
Barbara,142
Beidou,140
Bennett,127
Candace,190
Charlotte,172
Chasca,194
Chevreuse,138
Chiori,93
Chongyun,85
Citlali,150
Clorinde,152
Collei,74
Cyno,84
Dehya,92
Diluc,71
Diona,67
Dori,71
Ei,199
Emilie,90
Eula,83
Faruzan,71
Fischl,71
Freminet,59
Furina,197
Gaming,68
Ganyu,88
Gorou,86
Heizou,95
Hu Tao,100
Itto,91
Jean,92
Kachina,92
Kaeya,95
Kaveh,91
Kazuha,92
Keqing,91
Kinich,85
Kirara,78
Klee,67
Kokomi,197
LanYan,103
Layla,94
Lisa,95
Lynette,95
Lyney,91
Mavuika,223
Mika,86
Mizuki,93
Mona,90
Mualani,100
Nahida,97
Navia,90
Neuvillette,92
Nilou,100
Ningguang,96
Noelle,93
Ororon,93
Qiqi,99
Razor,92
Rosaria,95
Sara,98
Sayu,93
Sethos,80
Shenhe,99
Shinobu,83
Sigewinne,94
Sucrose,94
Tartaglia,94
Thoma,86
Tighnari,94
Traveler,95
Venti,99
Wanderer,102
Wriothesley,96
Xiangling,93
Xianyun,94
Xiao,94
Xilonen,94
Xingqiu,94
Xinyan,89
Yae,199
Yanfei,94
YaoYao,91
Yelan,102
Yoimiya,95
Yun Jin,95
Zhongli,94
